Name_lang,Description_lang,ID,Pos[0],Pos[1],Pos[2],PortLocID,PlayerConditionID,UiTextureAtlasMemberID,Flags,WMOGroupID,PoiDataType,PoiData,ContinentID,AreaID,WorldStateID,UiWidgetSetID,Importance,Icon
Anvilmar,,1,-6134.28,383.763,399.254,0,0,0,517,0,0,0,0,132,0,0,3,7
Brill,,2,2249.85,278.41385,34.11371,0,0,0,517,0,0,0,0,159,0,0,3,7
Darkshire,,3,-10564.7,-1170.65,28.0505,0,0,0,525,0,0,0,0,10,0,0,3,5
Deathknell,,4,1879.83,1588.2,90.17196,0,0,0,517,0,0,0,0,154,0,0,3,7
Dun Algaz,,5,-4191.0234,-2373.1401,205.15083,0,0,0,517,0,0,0,0,836,0,0,3,7
Dun Modr,,6,-2610.2583,-2350.5583,81.59118,0,0,0,517,0,0,0,0,205,0,0,3,7
Goldshire,,7,-9480.089,63.521755,56.17569,0,0,0,517,0,0,0,0,87,0,0,3,7
Ironforge,,8,-5021,-834.059,495.319,0,0,0,541,0,0,0,0,1,0,0,3,6
Kharanos,,9,-5585.9507,-482.127,397.01672,0,0,0,517,0,0,0,0,131,0,0,2,7
Lakeshire,,10,-9227.69,-2201.47,63.9334,0,0,0,525,0,0,0,0,44,0,0,3,5
Menethil Harbor,,11,-3672.7,-828.455,9.89915,0,0,0,525,0,0,0,0,11,0,0,3,5
Moonbrook,,12,-11017.1,1510.17,43.1657,0,0,0,517,0,0,0,0,20,0,0,3,7
Northshire Abbey,,13,-8896.159,-179.328,80.290924,0,0,0,517,0,0,0,0,24,0,0,3,7
Raven Hill,,14,-10752.5,310.433,40.1628,0,0,0,517,0,0,0,0,94,0,0,3,7
Sentinel Hill,,15,-10503.7,1027.76,55.5831,0,0,0,525,0,0,0,0,40,0,0,3,5
Stormwind City,,16,-9153.77,364.057,90.4829,0,0,0,541,0,0,0,0,12,0,0,3,6
The Sepulcher,,17,508.073,1619.02,125.272,0,0,0,525,0,0,0,0,130,0,0,3,5
Undercity,,18,1849.69,235.699,61.6564,0,0,0,541,0,0,0,0,85,0,0,4,6
Thelsamar,,19,-5349.27,-2959.91,323.627,0,0,0,525,0,0,0,0,38,0,0,3,5
Alliance,,20,-448.982,-1028.22,431.971,0,0,0,1,0,0,0,37,0,0,0,0,1
Horde,,21,-669.134,-483.289,387.273,0,0,0,1,0,0,0,37,0,0,0,0,1
Southshore,,22,-803.031,-531.727,15.9654,0,0,0,525,0,0,0,0,267,0,0,3,5
Tarren Mill,,23,-27.0354,-900.562,55.9603,0,0,0,525,0,0,0,0,267,0,0,3,5
Refuge Pointe,,24,-1251.05,-2526.81,20.7117,0,0,0,517,0,0,0,0,320,0,0,3,7
Hammerfall,,25,-991.57,-3528.34,56.5482,0,0,0,525,0,0,0,0,45,0,0,3,5
Kargath,,26,-6676.42,-2186.68,245.829,0,0,0,525,0,0,0,0,3,0,0,3,5
Angor Fortress,,27,-6392.65,-3158,299.765,0,0,0,517,0,0,0,0,338,0,0,3,7
Bloodhoof Village,,28,-2323.92,-394.981,-9.12757,0,0,0,517,0,0,0,1,222,0,0,3,7
Thunder Bluff,,29,-1205.41,29.4214,126.347,0,0,0,541,0,0,0,1,215,0,0,3,6
Camp Narache,,30,-2906.49,-253.607,52.9407,0,0,0,517,0,0,0,1,221,0,0,3,7
Razor Hill,,31,312.659,-4745.52,9.54726,0,0,0,517,0,0,0,1,362,0,0,3,7
The Den,,32,-604.098,-4202.92,38.7281,0,0,0,517,0,0,0,1,364,0,0,3,7
Orgrimmar,,33,1381.77,-4371.16,26.0233,0,0,0,541,0,0,0,1,14,0,0,3,6
Sen'jin Village,,34,-819.492,-4918.24,19.3401,0,0,0,517,0,0,0,1,367,0,0,3,7
The Crossroads,,35,-455.9,-2652.15,95.5865,0,0,0,525,0,0,0,1,17,0,0,3,5
Aldrassil,,36,10462.7,805.993,1312.66,0,0,0,517,0,0,0,1,188,0,0,3,5
Dolanaar,,37,9787.99,949.897,1306.73,0,0,0,1,0,0,0,1,-1,0,0,3,5
Darnassus,,38,9951.75,2254.5,1335.42,0,0,0,541,0,0,0,1,141,0,0,3,6
Ratchet,,39,-951.364,-3680.07,8.04018,0,0,0,525,0,0,0,1,392,0,0,3,5
Booty Bay,,40,-14383.3,487.139,-29.5617,0,0,0,525,0,0,0,0,35,0,0,3,5
Grom'gol Base Camp,,41,-12378.4,185.734,3.05513,0,0,0,525,0,0,0,0,33,0,0,3,5
Astranaar,,42,2720.43,-382.391,107.09,0,0,0,525,0,0,0,1,331,0,0,3,5
Stonetalon Peak,,44,2658.78,1449.71,226.135,0,0,0,525,0,0,0,1,467,0,0,3,5
Thalanaar,,45,-4510.03,-779.474,-41.5353,0,0,0,525,0,0,0,1,489,0,0,3,5
Freewind Post,,46,-5454.07,-2445.5,90.1133,0,0,0,525,0,0,0,1,484,0,0,3,5
Mirror Lake,,227,-9389.26,458.427,38.2854,0,0,0,516,0,0,0,0,92,0,0,0,3
Slaughter Hollow,,247,861.216,-558.217,146.61,0,0,0,516,0,0,0,0,282,0,0,0,3
Drywhisker Gorge,,327,-1014.22,-3827.39,145.41,0,0,0,516,0,0,0,0,321,0,0,0,7
Sun Rock Retreat,,701,936.308,910.974,104.439,0,0,0,525,0,0,0,1,406,0,0,3,5
Temple of Zin-Malor,,707,3549.15,-5359.12,204.102,0,0,0,516,0,0,0,1,1221,0,0,0,7
Hetaera's Clutch,,708,3556.64,-6232.79,44.0086,0,0,0,516,0,0,0,1,1227,0,0,0,7
Uther's Tomb,,709,969.176,-1825.52,99.6067,0,0,0,516,0,0,0,0,197,0,0,0,7
Scholomance,,710,1262.19,-2579.41,126.37,0,0,0,516,0,0,0,0,2298,0,0,0,7
Whitereach Post,,767,-4917.35,-1375.5,-52.3732,0,0,0,516,0,0,0,1,480,0,0,0,7
Stonard,,788,-10443.7,-3277.49,20.1782,0,0,0,525,0,0,0,0,8,0,0,3,5
Gadgetzan,,789,-7139.15,-3752.11,8.5398,0,0,0,525,0,0,0,1,440,0,0,3,5
Camp Mojache,,790,-4394.98,215.611,25.4133,0,0,0,525,0,0,0,1,215,0,0,3,5
Theramore Isle,,791,-3680.17,-4388.51,10.5549,0,0,0,525,0,0,0,1,15,0,0,3,5
Aerie Peak,,792,234.85,-2127.76,118.095,0,0,0,525,0,0,0,0,47,0,0,3,5
Everlook,,794,6723.46,-4662.5,722.806,0,0,0,525,0,0,0,1,618,0,0,3,5
Shadowprey Village,,795,-1657.85,3097.92,30.4995,0,0,0,525,0,0,0,1,405,0,0,3,5
Feathermoon Stronghold,,796,-4434.99,3276.74,11.7785,0,0,0,525,0,0,0,1,357,0,0,3,5
Auberdine,,798,6439.33,411.951,10.8632,0,0,0,525,0,0,0,1,148,0,0,3,5
Nijel's Point,,799,202.521,1308.24,190.236,0,0,0,525,0,0,0,1,405,0,0,3,5
Aldrassil,,907,10479.6,812.281,1322.75,0,0,0,516,0,0,0,1,188,0,0,0,7
Shadowthread Cave,,908,10756.2,921.301,1338.56,0,0,0,516,0,0,0,1,188,0,0,0,7
Fel Rock,,909,10050.6,1031.2,1329.95,0,0,0,516,0,0,0,1,186,0,0,0,7
Ban'ethil Barrow Den,,911,9864.17,1557.41,1329.3,0,0,0,516,0,0,0,1,736,0,0,0,7
The Cleft,,912,10316.4,1200.62,1458.09,0,0,0,516,0,0,0,1,266,0,0,0,7
Razorwind Canyon,,913,636.963,-4534.04,8.82065,0,0,0,516,0,0,0,1,410,0,0,0,7
Tor'kren Farm,,929,726.297,-4242.41,17.2915,0,0,0,516,0,0,0,1,369,0,0,0,7
Steelgrill's Depot,,947,-5488.04,-658.67,394.304,0,0,0,516,0,0,0,0,131,0,0,0,7
Ironband's Compound,,948,-5858.7,-2004.1,401.649,0,0,0,516,0,0,0,0,212,0,0,0,7
Echo Ridge Mine,,949,-8676.57,-119.634,91.4235,0,0,0,516,0,0,0,0,24,0,0,0,7
Maclure Vineyards,,950,-9948.39,69.1568,33.3002,0,0,0,516,0,0,0,0,57,0,0,0,7
Stonefield Farm,,951,-9901.14,378.19,35.2802,0,0,0,516,0,0,0,0,57,0,0,0,7
Northshire Vineyards,,954,-9067.35,-333.965,73.4517,0,0,0,516,0,0,0,0,24,0,0,0,7
Tower of Ilgalar,,955,-9281.33,-3318.81,122.249,0,0,0,516,0,0,0,0,1000,0,0,0,7
Render's Rock,,956,-8674.12,-2290.05,157.009,0,0,0,516,0,0,0,0,996,0,0,0,7
Spirit Den,,1007,-13751.4,-18.3165,49.2768,0,0,0,516,0,0,0,0,1737,0,0,0,7
Rethban Caverns,,1008,-8970.76,-2002.7,140.756,0,0,0,516,0,0,0,0,98,0,0,0,7
Boulderfist Outpost,,1010,-1194.05,-2119.16,61.8808,0,0,0,516,0,0,0,0,1858,0,0,0,7
Grosh'gok Compound,,1011,-11112.2,-2335.63,117.131,0,0,0,516,0,0,0,0,2561,0,0,0,7
Stagalbog Cave,,1012,-10803.2,-3739.01,27.5586,0,0,0,516,0,0,0,0,1797,0,0,0,7
